region_id,region_type,region
273940,neigh,Harrison East-South; AZ; Tucson; Pima County
267918,neigh,Date Palm Manor; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
267938,neigh,Tempe South Mountain; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
267931,neigh,Gililland; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417909,neigh,Mesa Madrid; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417537,neigh,Gateway Court; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
276364,neigh,Harlan Heights; AZ; Tucson; Pima County
762623,neigh,Crystal Point; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
273319,neigh,Colonia Del Valle; AZ; Tucson; Pima County
274823,neigh,Indian Bend; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417557,neigh,Gilbert Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
276487,neigh,Papago Park View; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417755,neigh,Chandler Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417858,neigh,U2; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417887,neigh,Rotary Park; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
761728,neigh,Walnut Meadows; AZ; Flagstaff; Coconino County
417693,neigh,Agritopia; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417695,neigh,San Savino; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417952,neigh,Signal Butte Manor; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
267937,neigh,Kiwanis Park; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417696,neigh,Lakeview Trails; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417947,neigh,Villages of Eastridge; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417831,neigh,Loma Verde; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
267985,neigh,Wood Park; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417629,neigh,Shamrock Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
275254,neigh,Rosemont West; AZ; Tucson; Pima County
761732,neigh,Country Club Estates; AZ; Flagstaff; Coconino County
417932,neigh,Camino del Rey; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417567,neigh,Pecos Manor; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
276541,neigh,Riverside; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417748,neigh,Windmills West; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417682,neigh,Lindsay Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417532,neigh,Silverhawke; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
761713,neigh,Presidio in the Pines; AZ; Flagstaff; Coconino County
417607,neigh,Desert Winds; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417608,neigh,Via Sorento; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417640,neigh,Bridges at Gilbert; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
273641,neigh,Enchanted Hills; AZ; Tucson; Pima County
762672,neigh,Cambridge Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
417956,neigh,Meridian Pointe; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417620,neigh,Sonoma Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417599,neigh,Groves at Superstition Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417691,neigh,Greenfield Lakes; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417775,neigh,Warner Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417732,neigh,Sunbird; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
274915,neigh,Optimist Park NE; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417617,neigh,Wind Drift; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417650,neigh,Madera Parc; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417844,neigh,Estate Groves and Valencia Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
344048,neigh,Tucson Park West No.1; AZ; Tucson; Pima County
417623,neigh,Higley Groves; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417899,neigh,Casa de Sol; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
275269,neigh,Saguaro Miraflores; AZ; Tucson; Pima County
272891,neigh,Bear Canyon; AZ; Tucson; Pima County
267909,neigh,Camelot Village; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
267940,neigh,Lindon Park; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417556,neigh,Ashland Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
262736,neigh,Dexter; AZ; Prescott; Yavapai County
762671,neigh,Coldwater Ridge; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
417591,neigh,Carol Rae Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417679,neigh,Val Vista Place; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417913,neigh,Thunder Mountain; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
762624,neigh,Upland Park; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
274609,neigh,Mountain First Avenue; AZ; Tucson; Pima County
417879,neigh,Powell Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417543,neigh,Park Village; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
207555,neigh,Sun River; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417653,neigh,Lago Estancia; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
272846,neigh,Balboa Heights; AZ; Tucson; Pima County
761718,neigh,Cherry Hiil; AZ; Flagstaff; Coconino County
274799,neigh,Northwest; AZ; Tucson; Pima County
417954,neigh,Santa Rita Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
267981,neigh,University Park; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
762630,neigh,Corte Sierra; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
417716,neigh,Balboa Way; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
275892,neigh,Vista Del Monte; AZ; Tucson; Pima County
761710,neigh,Equestrian Estates; AZ; Flagstaff; Coconino County
273475,neigh,Doolen-Fruitvale; AZ; Tucson; Pima County
417900,neigh,Mesa Mobile Home Estates III; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
267936,neigh,Jen Tilly Terrace; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
215929,neigh,Springs; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417769,neigh,Sunnycrest; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
275338,neigh,Sewell; AZ; Tucson; Pima County
112342,neigh,Marlborough Mesa; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417763,neigh,Ashley Park; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
